8,88547
16,2113
24,1849
32,1753
40,1740
48,1729
56,1753
64,1740
72,1741
80,1741
88,1752
96,1741
104,1777
112,1764
120,1753
128,1777
136,1752
144,1717
152,1741
160,1716
168,1729
176,1717
184,1728
192,1717
200,1729
208,1716
216,1741
224,6711
232,1861
240,1777
248,1776
256,1753
264,1765
272,1764
280,1777
288,1765
296,1776
304,1753
312,1777
320,1752
328,1777
336,6326
344,1957
352,1813
360,1800
368,1789
376,1765
384,1764
392,1777
400,1765
408,1777
416,1777
424,5966
432,1885
440,1777
448,1740
456,1741
464,1753
472,1740
480,1789
488,5847
496,1933
504,1765
512,1777
520,1752
528,1741
536,1753
544,1752
552,6014
560,1897
568,1728
576,1753
584,1729
592,1752
600,1729
608,5799
616,1813
624,1752
632,1753
640,1729
648,1740
656,6795
664,2017
672,1801
680,1740
688,1765
696,1729
704,5870
712,1933
720,1789
728,1740
736,1777
744,1753
752,6266
760,1897
768,1765
776,1776
784,1765
792,5931
800,1908
